Type,Subtype,Name,Status,Sector,Commodity,Capacity,initCap,Cap_units,Built,CAPEX,Comments,Label,Nodal_Flow,Function,geometry
source,biogas,Beckton biogas,Online,energy,electricity,5.8,0.0,MW,2014,0.0,https://electricityproduction.uk/plant/owner/thames-water-utilities/,,,,POINT (545066.2988487643 181999.2809067918)
source,solar,Crossness solar,Online,energy,electricity,30452.0,0.0,Area (m2),2010,0.0,(1.5 MW) https://gridwatch.co.uk/stations,,,,POINT (548470.3810156726 180949.8231051596)
source,wind,Crossness wind,Online,energy,electricity,2.5,0.0,MW,2009,0.0,http://www.renewables-map.co.uk/,,,,POINT (548771.8545430086 180323.989670055)
source,solar,QE floating solar,Online,energy,electricity,1279000.0,0.0,Area (m2),2016,0.0,,,,,POINT (511986.6225187977 167470.1214620381)
source,wind,Beckton wind,Online,energy,electricity,2.2,0.0,MW,2010,0.0,,,True,,POINT (544250.1759628149 182394.4186378575)
source,solar,Mogden solar,Online,energy,electricity,523.0,0.0,Area (m2),2010,0.0,,,,,POINT (515117.7889377241 175417.5002030291)
source,biogas,Mogden biogas,Online,energy,electricity,8.9,0.0,MW,1992,0.0,http://renewables-uk.co.uk/,,,,POINT (515251.4916179689 174783.4622284794)
source,solar,Walton WTW solar,Online,energy,electricity,36543.0,0.0,Area (m2),2010,0.0,(1.8MW) https://gridwatch.co.uk/stations,,,,POINT (511603.5595841357 168352.6054785619)
source,wind,Riverside wind,Online,energy,electricity,2.2,0.0,MW,2010,0.0,,,,,POINT (549327.8717787735 182532.9783343105)
sink,wwtp,Environmental overflow,Online,wastewater,wastewater,9999999.0,0.0,MLD,2010,0.0,Captures overflows,,,,POINT (548061.8289055001 192197.8973406248)
source,biogas,Crossness biogas,Online,energy,electricity,5.7,0.0,MW,1998,0.0,3/4 of site's electricity use,,,,POINT (549699.3987834837 180685.5298091737)
source,biogas,Deepham AD,Online,energy,electricity,3.0,0.0,MW,1996,0.0,https://electricityproduction.uk/plant/owner/thames-water-utilities/,,,,POINT (535953.2700673867 193307.8015250262)
source,biogas,Riverside AD,Online,energy,electricity,9.1,0.0,MW,2013,0.0,http://renewables-uk.co.uk/,,,,POINT (551471.8967114718 182339.2153978537)
source,biogas,Long Reach AD,Online,energy,electricity,2.3,0.0,MW,2010,0.0,,,,,POINT (554903.0716706284 176509.3026533787)
source,biogas,Beddington AD,Online,energy,electricity,1.5,0.0,MW,1968,0.0,http://renewables-uk.co.uk/,,,,POINT (529828.3008946882 166011.7991396359)
source,biogas,Oxford AD,Online,energy,electricity,2.2,0.0,MW,1992,0.0,http://renewables-uk.co.uk/,,,,POINT (454252.776287848 202110.9030720278)
sink,envflow,Lee environmental flow,Online,water,water,45.0,0.0,MLD,0,0.0,Fixed quantity flow. Arbitrary location.,,,,POINT (539135.0032452513 208475.924468579)
source,biogas,Swindon AD,Online,energy,electricity,1.6,0.0,MW,2016,0.0,http://renewables-uk.co.uk/,,,,POINT (413099.2088629306 185649.309938035)
storage,reservoir,London Storages,Online,water,water,202828.0,202828.0,megalitres,0,0.0,Arbitrary location,,False,,POINT (514400.5776621782 188765.229603674)
